MSA,"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration
"Amarillo, TX",93.26981977625172,0.26437115130412353,0.19908437308572718,1.637811522713351,1.1308314795112357,3.4980816971338298,"56,055","97,747",0.615,0.034,"264,345","109,725","5,325","32,152","38,300","21,970","2,968","10,524","13,824","3,524","14,573","7,901","1,346","6,796","10,030","29,745","11,471","6,275","6,526"
"Ames, IA",81.13851814893351,4.3766371460646125,1.6418236247973057,5.695709118123986,0.5410377946862917,6.606274167394287,"60,442","48,798",0.627,0.05,"123,736","52,680","3,309","15,407","17,692","12,390","2,152","3,261","6,308","1,508","6,795","2,502","1,337","3,777","5,390","21,939","5,526","2,339","2,740"
"Anchorage, AK",86.48567849945105,1.3478756140179065,0.89480384930596,2.4782355457736496,2.8101789092258604,5.983227582225567,"82,890","138,934",0.61,0.063,"399,450","160,311","7,072","42,516","54,354","34,992","5,619","12,659","4,547","4,200","21,240","17,340","3,852","8,378","18,503","45,866","18,403","9,496","19,157"
"Ann Arbor, MI",76.68943089430894,4.684010840108401,1.4726287262872628,7.3994579945799455,0.6693766937669376,9.08509485094851,"75,730","143,040",0.613,0.045,"368,385","151,753","11,372","50,846","55,729","25,093",871,"5,538","23,275","2,631","15,464","5,995","3,307","7,781","23,135","71,226","18,046","7,330","4,119"
"Anniston-Oxford, AL",95.02840609094173,0.6103613592684112,0.0,1.2164987644934424,0.6694967158757312,2.4752370694206847,"50,128","44,572",0.517,0.073,"114,324","53,722","2,270","13,840","16,655","11,807",626,"2,487","8,659","1,260","6,315","2,074",599,"1,821","3,318","10,856","4,068","2,115","3,707"
"Appleton, WI",90.69695796766014,0.41234507437220064,0.2859557795454725,2.2631583104911015,0.6224672770216363,5.71911559090945,"70,261","94,548",0.684,0.03,"236,834","98,471","3,616","27,064","41,755","22,113","2,131","9,223","29,710","4,504","13,543","4,929","1,542","8,455","10,242","26,145","9,149","5,455","3,421"
"Arecibo, PR",94.62713670996013,0.4559630492282184,0.009869330069874857,1.6087008013896016,0.2546287158027713,3.043701393549406,"18,917","65,897",0.348,0.11699999999999999,"177,570","82,822","8,692","29,818","19,347","8,040","1,222","3,218","5,737",814,"8,149","1,885",600,"1,669","3,833","12,102","4,926","2,932","5,048"
"Asheville, NC",86.88419528703358,0.4924132398301451,0.21808189367009237,1.9516715769672324,1.062745803191465,9.390892199307487,"54,992","190,156",0.574,0.032,"459,344","230,794","9,351","62,106","74,457","44,242","2,401","16,261","24,161","4,042","28,326","7,095","2,788","10,883","21,264","55,580","28,282","12,240","7,248"
"Athens-Clarke County, GA",84.65899312620849,2.0631497960134033,0.7714034075378868,3.6150676749577353,1.0639697917615736,7.8274162035209205,"49,503","80,156",0.585,0.053,"210,810","86,768","5,175","24,908","30,118","19,955","1,204","4,941","8,660","2,412","11,334","4,193","1,188","4,683","10,733","32,028","11,326","4,643","3,734"
"Atlanta-Sandy Springs-Alpharetta, GA",84.11359945648572,2.784164346788626,0.18828295883873533,1.2602254148162877,1.6771820662380414,9.976545756832593,"71,193","2,152,319",0.635,0.052000000000000005,"5,947,008","2,330,974","122,657","692,593","844,819","492,250","10,314","193,951","254,540","93,138","327,823","211,081","86,319","217,361","456,585","581,083","270,451","140,715","118,817"
"Atlantic City-Hammonton, NJ",84.91055689756479,4.486844682379056,0.4064111771234576,3.701769275967879,1.9251485277795914,4.569269439185219,"63,680","101,103",0.581,0.087,"264,650","128,472","12,795","33,728","35,733","18,847",434,"7,854","5,585","2,431","14,934","5,559","1,559","5,838","11,258","30,535","27,220","5,648","6,581"
"Auburn-Opelika, AL",91.5077873254565,0.625671321160043,0.28866809881847477,2.293233082706767,0.8109559613319013,4.473684210526316,"52,930","60,731",0.569,0.047,"163,461","70,256","2,671","17,909","24,766","15,385",480,"3,969","9,751","1,037","7,707","2,814",921,"5,144","7,068","23,599","6,772","3,252","2,914"
"Augusta-Richmond County, GA-SC",91.41923058003533,0.7299159593910934,0.13886944380328217,1.406478808220163,1.615350560207661,4.6901546483424585,"55,049","217,664",0.5379999999999999,0.071,"605,303","260,764","15,203","70,454","79,552","52,455","3,013","17,763","29,341","4,615","28,990","16,444","3,633","11,701","29,954","60,300","24,464","12,728","15,615"
"Austin-Round Rock-Georgetown, TX",81.96114362158447,1.7046152291850474,0.6879601315824999,1.9150357479726556,1.2147952798218393,12.51644998985348,"80,852","796,315",0.675,0.046,"2,173,804","856,586","34,799","266,847","335,968","158,701","9,062","89,398","92,412","25,015","121,803","47,373","35,881","82,395","197,219","236,667","108,137","55,276","65,998"
"Bakersfield, CA",92.34932971691315,0.6666058700147972,0.272114046674178,1.0825726397415947,1.1102253104306463,4.519152416225645,"54,851","273,556",0.524,0.091,"892,458","299,179","17,920","83,360","103,593","68,683","50,819","24,779","18,663","9,194","36,250","21,163","3,351","12,571","27,651","73,883","29,302","15,744","23,417"
"Baltimore-Columbia-Towson, MD",82.55462821216307,5.707111791495058,0.2620474574920165,2.3750808667636,1.2484618412072117,7.85266983087904,"83,811","1,062,780",0.626,0.05,"2,800,427","1,164,762","111,407","346,426","386,804","218,143","5,544","87,136","75,272","29,854","135,505","69,964","24,341","96,842","209,099","362,560","108,180","69,093","138,591"
"Bangor, ME",88.27618743669086,0.41905449095980135,0.26503115156729157,3.4842577046359637,1.2516130822706648,6.3038561338754215,"52,128","63,073",0.578,0.046,"151,696","76,088","4,501","21,557","24,525","12,490","1,171","5,607","3,333","1,643","10,700","3,519",881,"2,913","4,577","25,814","6,510","3,799","3,381"
"Barnstable Town, MA",85.51144567875089,1.2668219710825745,0.4553243102751198,2.2929862728865444,1.02616430180397,9.4472574652009,"76,863","95,859",0.569,0.040999999999999995,"213,505","164,064","4,436","33,817","38,286","19,320",931,"10,814","4,402","2,365","12,505","3,980","2,193","5,927","13,786","26,631","11,865","5,116","5,283"
"Baton Rouge, LA",92.65755295940629,0.7316961282035598,0.3122005423369421,1.513089485595449,0.9587742369563887,3.826686647501376,"60,043","311,169",0.588,0.065,"856,779","368,007","19,662","109,620","122,109","59,778","5,947","36,978","39,828","9,555","44,824","19,836","6,779","22,431","37,521","96,356","36,108","18,000","24,828"
"Battle Creek, MI",90.48329560266173,1.080469232352336,0.4287576318858476,2.91383686629622,1.0924744460451397,4.00116622075873,"50,219","54,124",0.5589999999999999,0.064,"133,943","60,889","4,399","19,762","19,400","10,563","1,015","2,515","13,454",770,"7,186","2,538",598,"2,564","4,074","13,451","6,106","2,796","2,752"
"Bay City, MI",91.23021237625922,0.5538354193013825,0.8830840347128341,1.6549648946840523,0.7151890453970607,4.962714229645458,"48,290","44,627",0.55,0.059000000000000004,"103,506","48,340","3,153","15,798","17,209","8,467",609,"2,980","7,904","1,346","5,682","2,242",546,"2,210","2,791","12,031","4,456","2,718","1,455"
"Beaumont-Port Arthur, TX",95.66982740643515,0.4587774929159357,0.051520467118901875,0.7556335177438942,0.9034481912636008,2.1607929245225157,"54,256","146,770",0.537,0.052000000000000005,"394,268","171,941","9,461","50,264","57,292","29,753","2,442","21,247","21,408","3,619","19,753","8,605","1,094","6,544","14,233","35,640","15,149","8,348","7,672"
"Beckley, WV",91.97467884802671,0.13912720864443723,0.04637573621481241,2.444001298520614,1.2104067152066038,4.18541019338682,"43,444","48,504",0.461,0.07,"117,539","57,613","4,198","16,976","18,129","9,201","2,244","2,688","1,573",886,"5,985","2,353",970,"1,318","2,951","12,714","4,950","2,399","3,233"
"Bellingham, WA",83.82265164515407,2.35395060807282,2.173020965455495,3.741699619488174,0.921435499515034,6.987241662314407,"65,420","88,978",0.591,0.052000000000000005,"224,538","98,000","6,494","24,726","32,972","24,786","2,930","9,363","12,296","2,925","12,771","4,253","1,950","5,318","10,211","25,296","10,643","6,509","5,222"
"Bend, OR",81.52467627921052,0.5155753474999459,1.8926046823320868,2.033117879763938,1.1035690352147691,12.93045677597873,"68,937","77,040",0.6,0.055999999999999994,"191,749","90,802","3,316","17,888","33,583","22,253","2,185","8,092","7,419","2,342","12,848","2,574","1,672","5,112","11,121","21,695","11,727","4,395","3,323"
"Billings, MT",89.6067727403857,0.8732219337372122,0.4637951312606795,2.6440760712779885,0.8610167987040366,5.551117324634401,"62,722","76,411",0.636,0.035,"180,641","83,956","4,074","20,373","28,095","23,869","3,916","7,748","5,037","2,856","11,114","6,405","1,333","5,211","8,572","21,393","9,679","4,767","3,341"
"Binghamton, NY",88.49638908788167,2.488915564676954,0.3591550659257682,3.3534047125791404,0.8218939379271623,4.480241631009313,"54,695","100,171",0.531,0.07200000000000001,"240,473","113,726","10,992","36,208","35,707","17,264",850,"6,012","12,027","2,408","12,815","4,482","1,500","4,319","9,472","33,305","9,566","4,435","4,657"
"Birmingham-Hoover, AL",92.00419150711132,0.5123405294321118,0.10234602315502472,1.1280444381142287,0.7900787433617514,5.462998758825564,"59,185","422,926",0.575,0.055999999999999994,"1,088,170","487,435","26,046","131,807","158,882","106,191","4,151","32,590","49,392","16,458","53,749","29,528","9,732","42,698","52,033","118,771","41,455","27,124","20,902"
"Bismarck, ND",92.57561061634777,0.16900332128266174,0.216030332422185,1.294712400435,0.6833612556211974,5.061282073891191,"72,886","54,050",0.677,0.024,"128,589","59,232","2,481","14,729","21,168","15,672","3,038","5,656","3,860","2,004","7,538","4,450",989,"3,596","5,083","17,951","5,449","3,532","5,847"
"Blacksburg-Christiansburg, VA",87.04865727200213,1.9968093592129754,0.6899760701940972,4.655676681733581,0.8800850837543207,4.728795533102899,"55,475","62,446",0.534,0.042,"167,201","72,845","3,517","18,575","23,730","16,624",624,"3,777","9,367","1,058","8,232","2,289","1,139","2,613","6,666","25,948","8,899","3,186","3,003"
"Bloomington, IL",86.74299806235688,1.1261816687217425,0.4556397158123422,4.246374258704715,0.6811109153895837,6.747695379014738,"68,037","66,225",0.621,0.033,"172,164","72,580","4,215","22,463","27,138","12,409","1,060","3,675","4,806","1,618","9,181","3,298",926,"15,946","7,499","23,546","8,219","3,827","2,849"
"Bloomington, IN",82.01959790922683,2.549211017336612,1.2356815401534718,6.096852719117229,0.7426446056322364,7.356012208533616,"52,226","65,229",0.58,0.063,"168,172","72,307","4,656","22,893","23,396","14,284",576,"4,629","8,977","1,156","8,169","3,101","1,530","3,773","6,402","28,742","9,270","3,671","3,454"
"Bloomsburg-Berwick, PA",88.97768472654853,0.30894142879027725,0.1480876270234387,3.492825409794209,0.6229893274779145,6.449471480365624,"53,546","33,957",0.563,0.039,"83,568","38,522","2,607","11,248","11,870","8,232",845,"2,461","5,379",637,"4,212","2,292",549,"1,521","2,302","12,627","3,157","1,788","1,673"
"Boise City, ID",86.39637326893835,0.27505155453496544,1.2119194649048322,1.883045257970148,1.321657982560321,8.911952471091377,"64,717","269,804",0.632,0.04,"730,483","283,450","9,895","76,502","107,516","75,891","9,215","29,791","33,596","10,769","41,627","18,104","7,027","24,333","40,669","77,982","31,351","16,537","18,375"
"Boston-Cambridge-Newton, MA-NH",71.34573769868992,12.26816441185615,0.9920442624641309,5.2684954809456945,1.345249236098781,8.780308909945331,"93,537","1,852,755",0.6559999999999999,0.049,"4,854,808","1,972,346","238,513","641,621","670,598","302,023","8,433","140,161","226,104","53,718","252,292","98,252","65,426","210,179","426,839","718,615","217,889","116,334","98,306"
"Boulder, CO",69.65574503417002,4.757093835461339,3.9761477584815386,4.601485249118896,0.9028781782182816,16.106649944549925,"87,476","127,365",0.649,0.045,"324,682","135,409","7,050","39,495","51,126","29,694","2,115","8,695","17,060","3,177","16,055","4,664","5,944","8,861","34,456","43,079","18,216","7,928","5,306"
"Bowling Green, KY",91.46265216804991,0.19369628912235967,0.10910740336639248,2.9446739650120755,1.6304814210932808,3.659388753355972,"51,591","67,547",0.605,0.053,"176,852","76,214","3,920","20,986","25,555","17,086","1,418","5,587","14,178","2,585","10,602","4,931",889,"3,432","6,735","20,260","9,050","3,788","1,976"
"Bremerton-Silverdale-Port Orchard, WA",75.81468455289614,8.31102742071026,0.48865510909147497,5.46857978773071,1.8433502443275547,8.073702885243861,"78,969","105,758",0.527,0.044000000000000004,"268,945","113,730","4,979","27,165","42,578","31,036",651,"7,738","12,879","1,752","13,631","4,988","1,596","5,567","13,692","24,609","11,506","4,796","12,624"
"Bridgeport-Stamford-Norwalk, CT",77.70678185523668,9.274474366697856,0.133731537143614,2.505650477887298,1.1766666239409358,9.202695139093617,"97,539","345,070",0.629,0.066,"944,306","374,329","25,503","106,913","134,599","78,055","1,411","30,948","37,712","12,002","48,246","17,655","12,085","57,138","75,860","109,514","38,675","23,340","12,171"
"Brownsville-Harlingen, TX",91.02488188199301,0.5902816328041153,0.20292858640810232,1.62836312497687,1.318727409545662,5.234817364272232,"41,200","126,968",0.531,0.055999999999999994,"422,135","152,544","8,980","48,055","44,087","25,846","3,367","12,315","9,572","2,904","19,651","8,270","1,724","7,322","13,705","52,575","15,021","8,802","8,911"
"Brunswick, GA",91.56087511036986,0.45129010104974004,0.40419896007063666,1.037967232414402,1.6030609241636418,4.942607671931718,"53,541","47,297",0.544,0.047,"118,149","61,297","2,680","16,956","16,890","10,771",684,"3,303","3,916",770,"6,908","3,341",637,"2,386","6,200","11,092","6,746","2,549","3,361"
"Buffalo-Cheektowaga, NY",87.94098231035757,2.876851295860482,0.3623337050532778,2.534844082753065,0.9674664239919738,5.317522181983642,"59,079","482,932",0.591,0.049,"1,129,018","530,247","57,898","183,783","172,681","68,570","2,765","27,235","59,778","12,462","61,383","26,010","8,267","45,358","53,243","153,668","49,942","23,758","24,702"
"Burlington, NC",93.73498380862844,0.16974825028726628,0.08748563668651416,0.9923743862947874,0.5680037605766217,4.4474041575263765,"51,580","65,455",0.583,0.052000000000000005,"166,144","71,718","3,108","20,406","23,109","18,832",527,"5,591","12,276","2,207","10,514","3,221",821,"3,666","6,675","19,818","6,431","3,053","2,952"
"Burlington-South Burlington, VT",80.8836926814455,2.1493403515875427,1.6786449370719034,5.915747207882039,0.8359483078584202,8.536626514154603,"73,447","88,499",0.6559999999999999,0.038,"219,764","98,488","5,937","30,053","37,151","15,358","2,242","6,477","13,928","2,486","13,086","3,699","2,150","5,946","12,999","34,943","10,621","5,356","6,697"
"California-Lexington Park, MD",88.28386914634578,1.5227441154674102,0.38465610332780464,1.962099022479444,0.6193316159085295,7.227299996471046,"95,864","41,280",0.628,0.035,"113,182","45,867","1,890","10,085","16,024","13,281",407,"5,780","2,365",549,"5,475","2,787",588,"1,636","9,491","10,722","3,500","2,381","10,261"
"Canton-Massillon, OH",90.22566114188417,1.0205401211285212,0.13901760889712697,1.6024742979071922,0.9623467034506542,6.049960126732332,"54,854","165,608",0.585,0.051,"398,711","180,622","11,673","53,348","62,284","38,303","1,799","11,629","32,775","5,534","22,265","10,629","2,592","9,851","15,545","44,368","17,680","9,328","5,315"
"Cape Coral-Fort Myers, FL",87.66685930290944,0.6574896023798471,0.7598078690326188,1.149501514247187,2.260791577059234,7.505550134371674,"59,608","288,916",0.506,0.05,"756,570","401,252","14,553","119,393","113,868","41,102","2,523","39,129","11,198","7,313","46,949","16,240","5,348","21,888","41,406","64,741","39,838","16,176","10,529"
"Cape Girardeau, MO-IL",91.81646593564624,0.36850620168973575,0.07415063814488586,1.7009706992629876,1.2470789142548984,4.792827611001258,"51,428","36,893",0.583,0.047,"97,026","44,240","2,080","12,135","14,305","8,373",875,"3,037","4,463","1,453","5,471","1,819",677,"2,320","3,252","14,039","3,991","2,490","1,833"
"Carbondale-Marion, IL",89.01184649216145,0.9505568560686671,0.5338015180534865,3.036106973114847,1.081790451869192,5.3858977087323545,"46,563","56,319",0.517,0.067,"136,837","66,007","5,082","19,718","20,602","10,917","1,409","2,730","4,873","1,374","7,400","2,882",712,"3,361","3,213","18,597","5,355","2,674","3,487"
"Carson City, NV",90.89473891936693,0.7104234913367802,0.29206299088289855,1.6655484074673401,1.0024864822196788,5.434739708726369,"58,305","22,858",0.575,0.046,"55,244","24,132","1,243","7,564","7,711","6,340",190,"2,360","2,433",568,"3,059",874,443,958,"2,435","4,609","3,742","1,159","3,168"
"Casper, WY",91.34279502650415,0.38595891247526687,0.15878056525881232,1.5242934264845984,0.7523756015340646,5.835796467743117,"62,168","32,896",0.6579999999999999,0.043,"80,067","37,160","1,248","9,506","12,283","9,859","3,427","3,424","2,084","1,200","4,924","2,439",646,"2,108","3,204","10,186","3,940","2,058","1,811"
"Cedar Rapids, IA",89.74783467504139,0.3346572782629085,0.35170987842917134,1.9546542940578793,0.7368144321839407,6.874329442024712,"66,620","109,796",0.6609999999999999,0.038,"271,734","118,199","5,111","32,295","44,008","28,382","2,521","9,682","23,673","3,742","16,192","8,301","2,957","11,548","13,673","32,119","10,290","4,990","3,420"
"Chambersburg-Waynesboro, PA",90.13267907563257,0.2617944570848981,0.11376408344526989,2.7029249705309906,1.122563666767181,5.666273746539105,"63,420","61,617",0.596,0.039,"154,954","65,808","3,196","17,164","23,839","17,418","2,388","4,751","11,327","2,019","8,946","5,151",768,"2,823","5,796","17,391","5,450","3,023","4,483"
"Champaign-Urbana, IL",78.96715509178603,4.986337545159456,2.0438665664142017,7.120981496084652,0.9637073850611602,5.917951915494508,"54,897","89,814",0.591,0.047,"226,418","101,114","9,776","34,385","31,381","14,272","1,602","4,192","8,258","2,297","11,218","5,958","2,604","5,753","8,341","43,028","10,611","4,416","2,796"
"Charleston, WV",89.91826402844335,1.7796413665172361,0.08598701499458959,2.953509043128768,0.7101174833822848,4.552481063533777,"46,099","109,935",0.489,0.061,"260,920","131,549","11,237","40,513","38,842","19,343","3,040","5,777","6,506","1,888","12,442","6,256","1,725","6,206","9,536","28,330","8,698","5,242","8,997"
"Charleston-North Charleston, SC",88.52965044015984,0.7840186541483909,0.5636819344434058,2.003061088227137,1.1689659068730676,6.950621976148165,"65,894","299,947",0.605,0.042,"790,955","339,240","15,716","101,615","122,577","60,039","1,796","29,888","35,761","8,036","43,541","21,204","7,004","21,337","52,437","82,879","40,605","19,452","21,897"
"Charlotte-Concord-Gastonia, NC-SC",86.59660579119048,1.4331417357269711,0.08284101578603349,1.3735777130236735,1.115179577691079,9.398654166581762,"65,725","975,476",0.634,0.051,"2,595,027","1,062,398","48,007","309,555","386,755","231,159","8,308","89,485","151,308","41,321","150,871","76,882","24,833","133,041","158,695","250,613","117,156","66,294","32,721"
"Charlottesville, VA",79.72475249390067,2.701607965410375,0.9862564643600638,4.525287540387532,1.3602238152205652,10.701871720720806,"75,176","85,051",0.598,0.035,"217,455","96,622","4,774","26,063","32,928","21,286","1,385","6,685","4,769","1,290","9,415","3,057","2,031","5,940","14,869","37,222","10,368","5,835","4,794"
"Chattanooga, TN-GA",90.36347876336319,0.6841953192718867,0.12790137725127612,1.6253491283829338,0.8244245401136474,6.374650871617066,"54,425","222,885",0.581,0.047,"561,055","248,977","12,579","71,564","84,444","54,298","1,659","19,160","37,517","5,212","29,388","17,788","3,430","21,470","23,459","58,632","26,293","13,992","7,416"
"Cheyenne, WY",91.8099336269714,0.1786185479123957,0.2658980656423164,1.5892991251750663,0.8930927395619787,5.263157894736842,"69,369","40,202",0.6,0.049,"99,272","43,841","1,860","11,447","14,335","12,560","1,248","3,523","1,554",835,"6,949","3,590","1,078","2,149","3,475","11,858","4,291","1,947","4,905"
"Chicago-Naperville-Elgin, IL-IN-WI",76.05675014340066,11.297802908401883,0.6311348095187967,2.8507838162409045,1.3361934695227926,7.827334852914953,"74,621","3,548,735",0.626,0.062,"9,478,801","3,856,019","424,827","1,244,961","1,255,981","622,966","16,798","256,621","544,154","145,110","486,046","329,236","90,230","365,063","646,615","1,057,703","426,200","220,716","156,749"
"Chico, CA",84.99617056621685,1.0895008791516996,2.148797773534837,2.921156812616636,1.2987713450481646,7.54560262343182,"54,972","83,879",0.523,0.07400000000000001,"223,344","93,968","5,564","24,974","31,051","22,290","3,878","6,286","6,218","1,819","12,314","3,875","1,919","5,027","9,529","25,821","10,572","4,419","4,379"
"Cincinnati, OH-KY-IN",88.5624801885999,1.604596337236006,0.15220700152207,1.8957950389943805,0.8296067107854417,6.955314722862194,"66,435","870,103",0.628,0.046,"2,214,265","946,325","63,357","269,143","334,997","202,606","4,507","62,904","150,707","31,453","124,350","62,460","17,374","84,895","130,007","253,237","97,593","45,359","36,527"
"Clarksville, TN-KY",91.9548595847716,0.6154200926733302,0.08359336153408231,2.777317373727183,1.2142656395252474,3.3545439477685615,"54,911","111,845",0.52,0.064,"304,584","127,557","5,406","33,073","45,432","27,934","1,408","8,165","16,075","2,382","13,444","6,291","1,913","5,282","11,845","27,996","11,510","5,497","8,886"
"Cleveland, TN",93.66150541483934,0.13246218562606285,0.1861630716906829,1.6038664637966529,0.8556341179629464,3.5603687460843103,"51,015","48,178",0.5710000000000001,0.055,"123,731","53,225","2,700","13,797","16,832","14,849",580,"3,633","11,707",811,"6,143","3,496",557,"2,726","4,203","12,609","4,932","3,876","2,044"
"Cleveland-Elyria, OH",87.1814439570512,2.782506219719785,0.27006678014927327,2.1237069529920127,1.0597052180175461,6.5825708720701845,"57,263","871,132",0.595,0.061,"2,053,137","963,209","87,774","319,431","317,493","146,434","3,860","50,730","139,455","27,575","105,575","45,482","15,393","73,417","106,736","251,094","91,161","44,938","40,417"
"Coeur d'Alene, ID",88.75127179000204,0.29844672047751475,0.4653055687444889,1.4840941463745507,0.7284813131655701,8.27240046123584,"60,903","64,475",0.583,0.04,"161,676","72,799","2,195","16,335","25,956","19,989","1,265","7,718","6,551","1,754","9,867","3,224","1,302","5,054","7,125","15,090","8,031","4,180","3,888"
"College Station-Bryan, TX",88.76137550043981,1.3736918688292792,1.377802257425417,1.8628281117696865,1.1599516618301096,5.464350599705696,"51,261","95,194",0.5820000000000001,0.046,"261,701","110,036","5,356","33,944","35,643","20,251","3,727","8,826","8,193","2,379","13,165","5,101","1,741","5,284","11,801","39,515","13,156","6,377","4,675"
"Colorado Springs, CO",85.38501589389456,0.669187767181848,0.3639153787131426,3.3774525923490084,0.9673353063685192,9.237093061492931,"71,171","273,240",0.588,0.059000000000000004,"735,480","289,808","10,693","77,517","113,402","71,628","2,987","25,923","20,558","5,283","36,843","14,473","8,690","24,372","47,910","79,410","34,095","20,123","20,096"
"Columbia, MO",87.73718197938496,0.7083455816114625,0.8031709606759153,4.091715106631138,0.7728268393752904,5.88675953232123,"57,980","81,721",0.632,0.036000000000000004,"207,248","90,461","4,781","27,131","31,752","18,057","1,456","5,302","6,499","2,567","10,832","4,426","1,948","8,440","8,030","37,080","11,701","4,407","4,512"
"Columbia, SC",87.94551208227766,0.6459236708493146,0.11666683357200798,4.425077861341719,1.6488578667494518,5.2179616852098505,"56,680","318,887",0.5870000000000001,0.055999999999999994,"832,925","359,666","17,516","106,080","121,262","74,029","3,070","24,180","36,664","9,887","43,940","20,987","6,602","29,730","39,074","93,653","36,679","22,176","27,409"
"Columbus, GA-AL",88.93882464524131,0.717177981249772,0.26337868894320215,2.0566884324955312,1.8472987268814067,6.176631525188779,"48,903","120,480",0.505,0.077,"319,643","140,611","10,599","41,055","43,203","25,623","1,082","6,944","13,863","1,842","14,858","6,041","2,084","12,920","11,543","29,338","12,906","5,495","8,267"
"Columbus, IN",91.36927360161984,0.29865856745127817,0.3290306251581878,1.0858010630220196,0.6302201974183751,6.287015945330296,"66,978","31,772",0.612,0.044000000000000004,"83,280","34,480","1,543","9,546","11,723","8,960",215,"1,914","13,287",769,"4,396","1,129",352,"1,556","3,489","7,469","3,131","1,233","1,300"
