MSA,Palmer Z Index,Average Temperature (F),Precipitation (inches)
"Brunswick, GA",-0.31666666666666665,69.26666666666667,49.300000000000004
"Buffalo-Cheektowaga, NY",-0.305,50.099999999999994,35.485
"Burlington, NC",1.24,60.1,59.79
"Burlington-South Burlington, VT",-0.4033333333333333,46.63333333333333,37.663333333333334
"Canton-Massillon, OH",-0.07,52.45,40.965
"Cape Coral-Fort Myers, FL",0.05,76.4,55.9
"Cape Girardeau, MO-IL",0.9733333333333333,57.63333333333333,55.75333333333333
"Carbondale-Marion, IL",0.7400000000000001,56.93333333333334,51.36333333333334
"Carson City, NV",-2.03,51.9,6.4
"Casper, WY",-1.26,44.5,6.51
"Cedar Rapids, IA",0.46666666666666673,48.56666666666666,35.99333333333333
"Chambersburg-Waynesboro, PA",-0.62,54.0,38.51
"Champaign-Urbana, IL",0.375,52.7,40.489999999999995
"Charleston, WV",0.916,56.239999999999995,54.348
"Charleston-North Charleston, SC",0.4033333333333333,67.16666666666667,54.370000000000005
"Charlotte-Concord-Gastonia, NC-SC",1.2163636363636363,61.61818181818182,61.21909090909091
"Charlottesville, VA",1.1125,57.525,59.792500000000004
"Chattanooga, TN-GA",1.0433333333333332,60.449999999999996,72.415
"Cheyenne, WY",-1.5,47.2,10.28
"Chicago-Naperville-Elgin, IL-IN-WI",0.11928571428571429,51.0,38.013571428571424
"Chico, CA",-1.08,62.4,19.16
"Cincinnati, OH-KY-IN",0.694375,55.28125,48.691250000000004
"Clarksville, TN-KY",0.8925,59.2,56.4225
"Cleveland, TN",1.6099999999999999,60.25,75.5
"Cleveland-Elyria, OH",0.7779999999999999,51.879999999999995,43.374
"Coeur d'Alene, ID",-0.23,46.6,31.59
"College Station-Bryan, TX",-0.44,68.83333333333333,37.5
"Colorado Springs, CO",-1.3050000000000002,45.6,12.364999999999998
"Columbia, MO",0.62,55.333333333333336,41.776666666666664
"Columbia, SC",0.7516666666666666,64.13333333333334,54.205000000000005
"Columbus, GA-AL",1.1371428571428572,65.27142857142857,67.12142857142858
"Columbus, IN",0.43,54.6,45.31
"Columbus, OH",0.341,53.19,43.412
"Corpus Christi, TX",-1.01,74.0,26.595
"Corvallis, OR",-0.22,53.1,55.83
"Crestview-Fort Walton Beach-Destin, FL",0.345,69.1,69.5
"Cumberland, MD-WV",0.225,54.099999999999994,39.785
"Dallas-Fort Worth-Arlington, TX",0.5499999999999999,65.89999999999999,42.57818181818182
"Dalton, GA",1.3250000000000002,61.2,74.36
"Danville, IL",0.43,52.4,40.7
"Daphne-Fairhope-Foley, AL",-0.1,68.9,63.27
"Davenport-Moline-Rock Island, IA-IL",0.5325,51.175,37.995000000000005
"Dayton-Kettering, OH",0.09666666666666666,54.199999999999996,41.593333333333334
"Decatur, AL",1.43,61.5,73.475
"Decatur, IL",0.17,53.3,39.92
"Deltona-Daytona Beach-Ormond Beach, FL",-0.425,73.35,52.69499999999999
"Denver-Aurora-Lakewood, CO",-1.185,47.019999999999996,13.058000000000002
"Des Moines-West Des Moines, IA",-0.34833333333333333,50.449999999999996,28.105
"Detroit-Warren-Dearborn, MI",0.3466666666666667,50.449999999999996,34.20666666666667
"Dothan, AL",0.8866666666666667,68.0,68.60333333333334
"Dover, DE",0.87,57.7,55.76
"Dubuque, IA",0.76,48.1,38.55
"Duluth, MN-WI",-0.6124999999999999,39.875,25.23
"Durham-Chapel Hill, NC",1.362,60.3,61.448
"East Stroudsburg, PA",0.01,49.3,49.04
"Eau Claire, WI",-0.065,44.75,29.939999999999998
"El Centro, CA",-0.61,75.4,2.69
"El Paso, TX",-1.205,65.1,5.99
"Elizabethtown-Fort Knox, KY",1.0866666666666667,56.6,57.06999999999999
"Elkhart-Goshen, IN",-0.63,50.9,33.01
"Elmira, NY",-0.46,49.0,34.25
"Enid, OK",0.59,59.8,33.85
"Erie, PA",0.12,50.1,45.82
"Eugene-Springfield, OR",-0.37,50.8,59.85
"Evansville, IN-KY",1.2650000000000001,57.15,55.2175
"Fargo, ND-MN",0.7150000000000001,42.1,20.955
"Farmington, NM",-1.79,53.2,4.68
"Fayetteville, NC",1.3733333333333333,63.26666666666667,62.48333333333333
"Fayetteville-Springdale-Rogers, AR",0.47333333333333333,58.36666666666667,55.01333333333333
"Flagstaff, AZ",-1.86,55.3,5.63
"Flint, MI",0.29,50.2,33.84
"Florence, SC",1.745,65.25,65.87
"Florence-Muscle Shoals, AL",1.62,61.65,76.715
"Fond du Lac, WI",1.39,47.1,39.51
"Fort Collins, CO",-1.0,43.6,15.83
"Fort Smith, AR-OK",1.23,60.775,64.0575
"Fort Wayne, IN",-0.305,51.3,33.835
"Fresno, CA",-1.46,57.6,9.62
"Gadsden, AL",1.0,62.6,71.27
"Gainesville, FL",-0.41,71.73333333333333,51.446666666666665
"Gainesville, GA",1.52,61.0,76.2
"Gettysburg, PA",-0.6,54.4,39.59
"Glens Falls, NY",-0.23500000000000001,46.599999999999994,39.69
"Goldsboro, NC",1.46,62.8,66.43
"Grand Forks, ND-MN",0.5449999999999999,40.55,19.235
"Grand Island, NE",-0.03333333333333333,51.73333333333333,20.83666666666667
"Grand Junction, CO",-2.24,49.2,9.47
"Grand Rapids-Kentwood, MI",0.335,49.05,36.13
"Grants Pass, OR",-0.84,52.6,41.7
"Great Falls, MT",0.24,43.7,15.3
"Greeley, CO",-1.12,50.2,9.98
"Green Bay, WI",1.22,45.666666666666664,37.06666666666667
"Greensboro-High Point, NC",1.5733333333333333,59.9,63.45333333333334
"Greenville, NC",1.09,63.0,63.21
"Greenville-Anderson, SC",1.055,62.0,68.69749999999999
"Gulfport-Biloxi, MS",-0.2625,68.625,59.5475
"Hagerstown-Martinsburg, MD-WV",-0.18000000000000002,55.06666666666666,39.44
"Hanford-Corcoran, CA",-1.42,65.5,4.54
"Harrisburg-Carlisle, PA",-0.6166666666666667,53.833333333333336,40.00333333333334
"Harrisonburg, VA",0.86,55.0,48.92
"Hartford-East Hartford-Middletown, CT",-0.5733333333333334,51.96666666666667,44.06
"Hattiesburg, MS",0.1675,67.2,61.6575
"Hickory-Lenoir-Morganton, NC",1.9324999999999999,58.9,73.74
"Hilton Head Island-Bluffton, SC",0.065,67.85,51.675
"Hinesville, GA",-0.175,68.85,50.205
"Homosassa Springs, FL",-0.92,73.6,48.86
"Hot Springs, AR",1.04,61.2,65.27
"Houston-The Woodlands-Sugar Land, TX",-0.12222222222222223,71.17777777777778,49.30777777777777
"Huntington-Ashland, WV-KY-OH",0.5942857142857143,56.25714285714286,49.92714285714286
"Huntsville, AL",1.26,61.15,73.045
"Idaho Falls, ID",-0.7766666666666667,42.23333333333333,12.256666666666668
"Indianapolis-Carmel-Anderson, IN",0.3009090909090909,53.23636363636364,42.51
"Iowa City, IA",0.435,50.05,36.230000000000004
"Ithaca, NY",-0.25,48.1,36.65
"Jackson, MI",0.34,49.4,35.61
"Jackson, MS",1.4985714285714287,66.3,76.96428571428571
"Jackson, TN",0.58,60.275,60.7825
"Jacksonville, FL",0.03400000000000001,71.34,55.124
"Jacksonville, NC",0.89,64.2,66.03
"Janesville-Beloit, WI",0.73,48.8,37.62
"Jefferson City, MO",0.8049999999999999,56.225,44.1
"Johnson City, TN",1.6633333333333333,55.699999999999996,63.00666666666666
"Johnstown, PA",-0.36,49.3,44.27
"Jonesboro, AR",0.815,60.95,58.525000000000006
"Joplin, MO",0.385,58.35,47.489999999999995
"Kalamazoo-Portage, MI",-0.32,50.1,35.03
"Kankakee, IL",-0.02,52.0,37.16
"Kansas City, MO-KS",0.18285714285714286,55.24285714285714,37.78214285714286
"Kennewick-Richland, WA",-1.375,53.65,7.4350000000000005
"Killeen-Temple, TX",0.0,67.60000000000001,34.346666666666664
"Kingsport-Bristol, TN-VA",1.6575,56.975,61.34
"Kingston, NY",-0.28,49.9,46.22
"Knoxville, TN",1.40625,58.475,69.06
"Kokomo, IN",-0.05,51.8,37.1
"La Crosse-Onalaska, WI-MN",0.375,46.75,33.63
"Lafayette-West Lafayette, IN",-0.26,51.95,35.9425
"Lake Havasu City-Kingman, AZ",-0.57,64.4,6.2
"Lakeland-Winter Haven, FL",-0.28,74.7,54.12
"Lancaster, PA",0.34,55.2,48.35
"Lansing-East Lansing, MI",0.5,49.5,35.9525
"Laredo, TX",-0.85,73.7,18.16
"Las Vegas-Henderson-Paradise, NV",-0.59,66.4,4.71
"Lawrence, KS",0.13,55.7,35.73
"Lawton, OK",1.22,62.75,39.665000000000006
"Lebanon, PA",0.09,54.1,47.09
"Lewiston, ID-WA",0.11499999999999999,49.5,21.285
"Lewiston-Auburn, ME",0.0,46.6,46.61
"Lexington-Fayette, KY",0.5683333333333334,56.38333333333333,52.18
"Lima, OH",0.35,52.7,39.17
"Lincoln, NE",0.06,51.7,25.2
"Little Rock-North Little Rock-Conway, AR",1.115,61.46666666666667,63.87833333333333
"Logan, UT-ID",-0.88,45.099999999999994,18.835
"Longview, TX",0.6725,65.45,54.8725
"Longview, WA",-0.03,50.7,82.87
"Los Angeles-Long Beach-Anaheim, CA",-0.28,64.55000000000001,10.23
"Louisville/Jefferson County, KY-IN",0.9730000000000001,56.55,53.483000000000004
"Lubbock, TX",-1.1066666666666667,62.333333333333336,11.996666666666668
"Lynchburg, VA",2.0975,57.975,70.05250000000001
"Macon-Bibb County, GA",0.7060000000000001,65.75999999999999,59.666
"Madera, CA",-1.62,58.0,11.06
"Madison, WI",0.835,48.0,37.805
"Manchester-Nashua, NH",-0.69,49.2,40.73
"Manhattan, KS",0.15,55.06666666666666,31.596666666666664
"Mankato, MN",0.61,46.349999999999994,29.94
"Mansfield, OH",0.27,51.6,41.04
"McAllen-Edinburg-Mission, TX",-0.46,76.5,25.31
"Medford, OR",-0.85,51.7,28.88
"Memphis, TN-MS-AR",0.53875,62.1875,59.2775
"Merced, CA",-1.59,63.4,5.77
"Miami-Fort Lauderdale-Pompano Beach, FL",0.8099999999999999,77.26666666666667,73.57
"Michigan City-La Porte, IN",-0.63,51.3,35.97
"Midland, MI",-0.07,49.3,32.38
"Midland, TX",-0.9,65.7,9.065000000000001
"Milwaukee-Waukesha, WI",0.6,47.875,34.415
"Minneapolis-St. Paul-Bloomington, MN-WI",-0.05666666666666666,45.440000000000005,27.232000000000003
"Missoula, MT",0.56,42.3,32.05
"Mobile, AL",0.010000000000000009,68.05000000000001,60.785
"Modesto, CA",-1.76,63.1,6.78
"Monroe, MI",-0.1,52.2,32.22
"Montgomery, AL",0.9325,66.6,67.69749999999999
"Morgantown, WV",-0.4,52.65,46.885
"Morristown, TN",1.97,58.666666666666664,64.05333333333333
"Mount Vernon-Anacortes, WA",0.46,46.5,91.23
"Muncie, IN",-0.03,53.4,38.48
"Muskegon, MI",0.07,49.2,34.8
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1.205,65.05,65.055
"Napa, CA",-1.75,61.9,10.32
"Naples-Marco Island, FL",0.18,76.4,56.84
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.8615384615384615,59.49230769230769,61.02923076923077
"New Bern, NC",0.8966666666666666,63.800000000000004,65.55
"New Haven-Milford, CT",-0.47,52.2,45.34
"New York-Newark-Jersey City, NY-NJ-PA",-0.44173913043478263,55.039130434782614,45.046956521739126
"Niles, MI",-0.5,51.3,35.58
"North Port-Sarasota-Bradenton, FL",-0.2,74.7,54.730000000000004
"Norwich-New London, CT",-0.76,52.6,41.46
"Ocala, FL",-0.77,73.0,50.06
"Ocean City, NJ",0.84,57.2,55.69
"Odessa, TX",-1.19,66.0,6.39
"Ogden-Clearfield, UT",-1.515,48.425,14.355
"Oklahoma City, OK",0.6885714285714286,61.142857142857146,38.901428571428575
"Olympia-Lacey-Tumwater, WA",-0.24,51.4,50.42
"Omaha-Council Bluffs, NE-IA",-0.8125,51.6625,21.6175
"Orlando-Kissimmee-Sanford, FL",-0.51,74.525,50.43
"Oshkosh-Neenah, WI",1.37,47.2,38.42
"Owensboro, KY",1.1900000000000002,57.1,55.71333333333333
"Oxnard-Thousand Oaks-Ventura, CA",-0.62,59.5,12.1
"Palm Bay-Melbourne-Titusville, FL",-0.04,74.6,53.36
"Panama City, FL",-0.03,70.7,65.02
"Parkersburg-Vienna, WV",0.69,55.45,50.525
"Pensacola-Ferry Pass-Brent, FL",0.18,69.0,69.31
"Peoria, IL",0.16166666666666665,52.28333333333333,36.74333333333333
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.5009090909090909,56.45454545454545,52.026363636363634
"Phoenix-Mesa-Chandler, AZ",-0.995,72.0,5.075
"Pine Bluff, AR",1.5533333333333335,62.800000000000004,71.17666666666666
"Pittsburgh, PA",-0.10571428571428572,52.18571428571429,43.13285714285714
"Pittsfield, MA",-0.87,48.0,40.44
"Pocatello, ID",-0.71,46.25,13.93
"Port St. Lucie, FL",1.1,76.15,73.0
"Portland-South Portland, ME",-0.19666666666666666,47.4,44.696666666666665
"Portland-Vancouver-Hillsboro, OR-WA",-0.2714285714285714,51.128571428571426,65.93142857142857
"Poughkeepsie-Newburgh-Middletown, NY",-0.715,51.8,39.46
"Prescott Valley-Prescott, AZ",-1.04,61.6,8.54
"Providence-Warwick, RI-MA",-0.48,53.06666666666666,43.754999999999995
"Provo-Orem, UT",-1.9249999999999998,50.2,7.52
"Pueblo, CO",-1.52,53.9,8.6
"Punta Gorda, FL",-0.01,75.8,56.91
"Racine, WI",1.04,49.2,39.95
"Raleigh-Cary, NC",1.5566666666666666,61.866666666666674,65.86
"Rapid City, SD",0.515,47.45,14.085
"Reading, PA",0.47,54.4,50.88
"Redding, CA",-0.95,57.4,23.3
"Reno, NV",-1.885,51.65,6.04
"Richmond, VA",1.6521428571428571,59.728571428571435,64.31642857142857
"Riverside-San Bernardino-Ontario, CA",-0.655,69.2,5.53
"Roanoke, VA",2.068,56.08,65.11600000000001
"Rochester, MN",0.3125,45.4,31.7575
"Rochester, NY",-0.295,49.56666666666666,32.01166666666666
"Rockford, IL",0.355,49.8,37.055
"Rocky Mount, NC",1.585,62.0,67.745
"Rome, GA",0.71,62.1,63.8
"Sacramento-Roseville-Folsom, CA",-1.52,60.15,16.3175
"Saginaw, MI",0.24,50.0,33.19
"Salem, OR",-0.36,51.65,60.43
"Salinas, CA",-0.82,60.4,10.21
"Salisbury, MD-DE",0.695,59.4,55.6925
"Salt Lake City, UT",-1.645,51.65,9.335
"San Angelo, TX",-0.43,66.36666666666666,17.966666666666665
"San Antonio-New Braunfels, TX",-0.89625,70.1125,26.346249999999998
"San Diego-Chula Vista-Carlsbad, CA",-0.04,64.7,11.35
"San Francisco-Oakland-Berkeley, CA",-2.106,60.17999999999999,9.822
"San Jose-Sunnyvale-Santa Clara, CA",-0.885,60.6,10.595
"San Luis Obispo-Paso Robles, CA",-1.02,61.1,9.31
"Santa Cruz-Watsonville, CA",-1.21,59.3,14.51
"Santa Fe, NM",-1.43,51.4,8.51
"Santa Maria-Santa Barbara, CA",-0.69,60.2,11.34
"Santa Rosa-Petaluma, CA",-1.65,59.4,14.86
"Savannah, GA",-0.06999999999999999,68.66666666666667,51.376666666666665
"Scranton--Wilkes-Barre, PA",-0.2333333333333333,49.833333333333336,42.25666666666667
"Seattle-Tacoma-Bellevue, WA",0.32,47.9,86.13666666666667
"Sebastian-Vero Beach, FL",0.54,74.8,64.53
"Sebring-Avon Park, FL",-0.08,74.9,54.4
"Sheboygan, WI",1.26,47.0,38.0
"Sherman-Denison, TX",0.87,64.4,49.56
"Sierra Vista-Douglas, AZ",-0.42,63.2,9.43
"Sioux City, IA-NE-SD",-0.5075000000000001,49.2,19.87
"Sioux Falls, SD",-0.6975,47.425,16.6675
"South Bend-Mishawaka, IN-MI",-0.615,50.8,34.67
"Spartanburg, SC",0.96,61.8,65.67
"Spokane-Spokane Valley, WA",-0.14,47.099999999999994,21.564999999999998
"Springfield, IL",0.065,53.25,36.85
"Springfield, MA",-0.61,50.0,43.22
"Springfield, MO",0.782,56.339999999999996,50.81
"Springfield, OH",0.53,53.3,45.21
"St. Cloud, MN",-0.08499999999999999,43.95,24.9
"St. George, UT",-1.01,57.9,8.33
"St. Joseph, MO-KS",0.4625,53.725,39.01
"St. Louis, MO-IL",0.9653333333333334,55.84,46.6
"State College, PA",-0.4,50.4,40.18
"Staunton, VA",1.44,54.5,55.17
"Stockton, CA",-2.28,64.5,6.6
"Sumter, SC",1.33,65.19999999999999,61.575
"Syracuse, NY",-0.3233333333333333,48.199999999999996,39.50666666666667
"Tallahassee, FL",-0.28500000000000003,69.9,56.8725
"Tampa-St. Petersburg-Clearwater, FL",-0.6375,74.7,51.4675
"Terre Haute, IN",0.36,54.160000000000004,43.168
"Texarkana, TX-AR",1.54,64.03333333333333,68.32333333333334
"The Villages, FL",-1.07,73.8,46.82
"Toledo, OH",-0.655,52.875,29.63
"Topeka, KS",-0.008000000000000004,55.239999999999995,33.076
"Trenton-Princeton, NJ",-0.23,55.8,46.01
"Tucson, AZ",-1.2,69.8,5.6
"Tulsa, OK",0.5371428571428571,60.68571428571429,44.17285714285714
"Tuscaloosa, AL",1.0725,64.525,70.71000000000001
"Twin Falls, ID",-1.3199999999999998,49.6,8.01
"Tyler, TX",0.79,65.5,54.91
"Utica-Rome, NY",-0.795,46.0,41.120000000000005
"Valdosta, GA",-0.16999999999999998,68.2,51.3675
"Vallejo, CA",-2.11,63.2,6.51
"Victoria, TX",-1.385,73.05,30.085
"Vineland-Bridgeton, NJ",0.91,57.0,56.15
"Virginia Beach-Norfolk-Newport News, VA-NC",1.69,61.1,66.714
"Visalia, CA",-1.15,56.1,11.61
"Waco, TX",0.865,67.5,45.51
"Walla Walla, WA",-0.81,53.6,15.03
"Warner Robins, GA",1.115,66.4,63.835
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.826111111111111,57.25555555555555,52.16333333333333
"Waterloo-Cedar Falls, IA",0.2833333333333334,48.199999999999996,36.099999999999994
"Watertown-Fort Drum, NY",-0.1,47.3,39.7
"Wausau-Weston, WI",0.44,43.1,33.2
"Weirton-Steubenville, WV-OH",-0.10333333333333333,52.56666666666666,40.803333333333335
"Wenatchee, WA",-0.73,46.65,24.419999999999998
"Wheeling, WV-OH",-0.08,52.86666666666667,44.19333333333333
"Wichita Falls, TX",1.22,64.23333333333333,39.89
"Wichita, KS",0.042499999999999996,57.625,30.9075
"Williamsport, PA",-0.63,49.9,39.3
"Wilmington, NC",1.115,64.7,67.63499999999999
"Winchester, VA-WV",0.615,54.6,43.115
"Winston-Salem, NC",1.83,59.4,66.86
"Worcester, MA-CT",-0.515,50.9,43.975
"Yakima, WA",-0.86,47.9,22.81
"York-Hanover, PA",-0.22,55.0,42.82
"Youngstown-Warren-Boardman, OH-PA",0.7833333333333333,51.03333333333333,45.596666666666664
"Yuba City, CA",-1.58,63.95,12.295
"Yuma, AZ",-0.7,74.2,3.53
