MSA,Heating Degree Days
"Modesto, CA",2404
"Monroe, MI",5543
"Montgomery, AL",7158
"Morgantown, WV",10366
"Morristown, TN",10710
"Mount Vernon-Anacortes, WA",6777
"Muncie, IN",5143
"Muskegon, MI",6382
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3901
"Napa, CA",2435
"Naples-Marco Island, FL",222
"Nashville-Davidson--Murfreesboro--Franklin, TN",44958
"New Bern, NC",6709
"New Haven-Milford, CT",5399
"New York-Newark-Jersey City, NY-NJ-PA",107220
"Niles, MI",5798
"North Port-Sarasota-Bradenton, FL",910
"Norwich-New London, CT",5210
"Ocala, FL",747
"Ocean City, NJ",3996
"Odessa, TX",2230
"Ogden-Clearfield, UT",26426
"Oklahoma City, OK",22243
"Olympia-Lacey-Tumwater, WA",5084
"Omaha-Council Bluffs, NE-IA",47918
"Orlando-Kissimmee-Sanford, FL",2127
"Oshkosh-Neenah, WI",7115
"Owensboro, KY",12328
"Oxnard-Thousand Oaks-Ventura, CA",2803
"Palm Bay-Melbourne-Titusville, FL",465
"Panama City, FL",1022
"Parkersburg-Vienna, WV",8973
"Pensacola-Ferry Pass-Brent, FL",2534
"Peoria, IL",33745
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",46945
"Phoenix-Mesa-Chandler, AZ",2935
"Pine Bluff, AR",7890
"Pittsburgh, PA",37683
"Pittsfield, MA",6602
"Pocatello, ID",14334
"Port St. Lucie, FL",565
"Portland-South Portland, ME",20412
"Portland-Vancouver-Hillsboro, OR-WA",36697
"Poughkeepsie-Newburgh-Middletown, NY",11099
"Prescott Valley-Prescott, AZ",3113
"Providence-Warwick, RI-MA",30664
"Provo-Orem, UT",12310
"Pueblo, CO",5093
"Punta Gorda, FL",350
"Racine, WI",6441
"Raleigh-Cary, NC",8259
"Rapid City, SD",14227
"Reading, PA",4840
"Redding, CA",3913
"Reno, NV",11102
"Richmond, VA",46793
"Riverside-San Bernardino-Ontario, CA",3508
"Roanoke, VA",20737
"Rochester, MN",30918
"Rochester, NY",37204
"Rockford, IL",12657
"Rocky Mount, NC",5414
"Rome, GA",2700
"Sacramento-Roseville-Folsom, CA",12576
"Saginaw, MI",6187
"Salem, OR",10148
"Salinas, CA",2544
"Salisbury, MD-DE",13824
"Salt Lake City, UT",11615
"San Angelo, TX",6414
"San Antonio-New Braunfels, TX",9863
"San Diego-Chula Vista-Carlsbad, CA",1846
"San Francisco-Oakland-Berkeley, CA",12148
"San Jose-Sunnyvale-Santa Clara, CA",5401
"San Luis Obispo-Paso Robles, CA",2470
"Santa Cruz-Watsonville, CA",2503
"Santa Fe, NM",5506
"Santa Maria-Santa Barbara, CA",2445
"Santa Rosa-Petaluma, CA",2628
"Savannah, GA",4171
"Scranton--Wilkes-Barre, PA",18205
"Seattle-Tacoma-Bellevue, WA",18868
"Sebastian-Vero Beach, FL",400
"Sebring-Avon Park, FL",436
"Sheboygan, WI",7067
"Sherman-Denison, TX",2396
"Sierra Vista-Douglas, AZ",2599
"Sioux City, IA-NE-SD",26992
"Sioux Falls, SD",29132
"South Bend-Mishawaka, IN-MI",11888
"Spartanburg, SC",2702
"Spokane-Spokane Valley, WA",13641
"Springfield, IL",10613
"Springfield, MA",18151
"Springfield, MO",21908
"Springfield, OH",5176
"St. Cloud, MN",16460
"St. George, UT",4088
"St. Joseph, MO-KS",21089
"St. Louis, MO-IL",68955
"State College, PA",5931
"Staunton, VA",4517
"Stockton, CA",2047
"Sumter, SC",3950
"Syracuse, NY",19832
"Tallahassee, FL",4654
"Tampa-St. Petersburg-Clearwater, FL",2155
"Terre Haute, IN",24866
"Texarkana, TX-AR",7008
"The Villages, FL",650
"Toledo, OH",21593
"Topeka, KS",24342
"Trenton-Princeton, NJ",4446
"Tucson, AZ",1639
"Tulsa, OK",23226
"Tuscaloosa, AL",8891
"Twin Falls, ID",12319
"Tyler, TX",2056
"Utica-Rome, NY",14559
"Valdosta, GA",5649
"Vallejo, CA",2136
"Victoria, TX",1634
"Vineland-Bridgeton, NJ",4092
"Virginia Beach-Norfolk-Newport News, VA-NC",29744
"Visalia, CA",4133
"Waco, TX",3539
"Walla Walla, WA",4888
"Warner Robins, GA",3571
"Washington-Arlington-Alexandria, DC-VA-MD-WV",71875
"Waterloo-Cedar Falls, IA",20723
"Watertown-Fort Drum, NY",6922
"Wausau-Weston, WI",16712
"Weirton-Steubenville, WV-OH",15852
"Wenatchee, WA",14001
"Wheeling, WV-OH",15604
"Wichita Falls, TX",7560
"Wichita, KS",17025
"Williamsport, PA",6061
"Wilmington, NC",4088
"Winchester, VA-WV",9307
"Winston-Salem, NC",16389
"Worcester, MA-CT",11526
"Yakima, WA",6455
"York-Hanover, PA",4662
"Youngstown-Warren-Boardman, OH-PA",17086
"Yuba City, CA",4676
"Yuma, AZ",1146
