msa,Node Count,Edge Count,Degree Average,Edge Length Total (km),Edge Length Average (km),Streets per Node Average,Intersection Count,Street Length Total (km),Street Segment Count,Street Length Average (km),Circuity Average,Self-loop Proportion,Node Density (/sq km),Intersection Density (/sq km),Edge Density (km/sq km),Street Density (km/sq km),Building Area (sq km),Area (sq km),Car Mode Share,Transit Mode Share,Bicycle Mode Share,Walking Mode Share,Working from Home Share,Median Household Income,Households,Employment Rate (%),Unemployment Rate (%),Population,Housing Units,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,GDP ($),Transit Diesel (gal),Transit Gasoline Vehicle Fuel Use (gal),Transit Liquefied Petroleum Gas (GGE),Transit Compressed Natural Gas (GGE),Transit Bio-Diesel (gal),Transit Other Fuel (GGE),Transit Electric Propulsion Vehicle Fuel Use (kWh),Transit Electric Battery Vehicle Fuel Use (kWh),Transit Diesel Vehicle Miles,Transit Gasoline Vehicle Miles,Transit Compressed Natural Gas Vehicle Miles,Transit Other Fuel Vehicle Miles,Transit Electric Propulsion Vehicle Miles,Transit Electric Battery Vehicle Miles,Cooling Degree Days (°Df),Heating Degree Days (°Df),Palmer Z Index,Average Temperature (°F),Precipitation (in),Population Density (/sq km),Built-Up Area Proportion,Cluster
"Lewiston, ID-WA",4204.0,10819.0,5.147002854424358,5102.4586530000015,0.4716201731213607,2.672930542340628,3134.0,2609.800922000006,5595.0,466.4523542448625,1.1599275988464273,0.0023235031277926,1.0837586943892823,0.8079209677012397,1.3153743881899571,0.6727864985353644,1.0740700252823872,3879.092294036017,88.62305207482872,0.521813212168542,0.3194774768378829,2.914344538710021,6.414397784956161,55657,25834,0.562,0.042,63104,27998,1413,6733,9080,8608,3428552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.5,6030.0,0.1149999999999999,49.5,21.285,16.267723275628278,19.59789527383469,1
"Lewiston-Auburn, ME",6319.0,15316.0,4.847602468745055,4391.505032999994,0.286726627905458,2.5043519544231683,4444.0,2241.1157959999978,7869.0,284.8031256830598,1.060924953578394,0.0102935569958063,4.91041037125457,3.4533729529759944,3.412579816341164,1.741541105849158,2.208715210906314,1286.857822920724,88.50876034928238,0.1376761028233031,0.1640797389811968,3.383437376232956,7.098806178450862,55002,45906,0.621,0.045,107958,50053,4183,15542,17030,9151,5807880.0,16465.0,50352.0,0.0,0.0,0.0,0.0,0.0,0.0,27972.0,448857.0,0.0,0.0,0.0,0.0,375.0,7059.0,0.0,46.6,46.61,83.89271765467652,3.865708731079192,5
"Lexington-Fayette, KY",22248.0,53895.0,4.844929881337649,13200.5180359999,0.2449302910474052,2.63183207479324,16504.0,7164.69408200003,29306.0,244.47874435269333,1.085094341534045,0.0136149593939807,5.789224436791331,4.294559515677999,3.434949729967428,1.864348348689716,34.16913967689948,3843.001811885345,87.7034435832662,1.1907462009525969,0.3398221506166853,3.0318079789771706,6.569634212152259,60769,203965,0.632,0.049,514273,222191,13035,67877,82911,40142,35972245.0,364737.0,255074.0,0.0,187543.0,0.0,0.0,0.0,187920.0,1397435.0,119782.0,466180.0,0.0,0.0,82545.0,1168.5,4273.0,0.5683333333333334,56.38333333333333,52.18,133.82064989131553,13.528699003338756,1
"Lima, OH",5387.0,15034.0,5.581585297939484,4440.8764630000105,0.2953888827324737,2.894560980137368,4472.0,2327.932454999998,7729.0,301.1945212834775,1.0372522087736016,0.0128089015396558,5.10457904876151,4.237549193625668,4.208057351247071,2.205887365272867,3.469816985311318,1055.3269816258428,92.25702983000107,0.7206243985886881,0.1454078905164118,1.4754624184753555,3.511172885705122,51892,41025,0.5820000000000001,0.0559999999999999,102808,45126,3439,12866,15212,9508,8352629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,5405.0,0.35,52.7,39.17,97.41814792000618,13.80975396829857,5
"Lincoln, NE",16278.0,43411.0,5.3337019289839045,13222.088092999857,0.3045792101771407,2.989249293525003,13784.0,7082.717609000023,24257.0,291.9865444613935,1.023291205837848,0.0021437110937049,4.418367300690759,3.741416320968266,3.5888955447206787,1.9224749897796003,9.276848938881471,3684.16632031817,89.02712773718532,0.9837592736006824,0.9091215192430722,3.094941468287372,5.314432584711045,62883,133432,0.6809999999999999,0.033,333193,140312,6884,42332,52816,31400,25595311.0,178069.0,19792.0,0.0,237147.0,0.0,0.0,0.0,34944.0,882530.0,97584.0,1050220.0,0.0,0.0,0.0,1106.5,5922.5,0.06,51.7,25.2,90.43918515905249,18.768050982401952,3
"Little Rock-North Little Rock-Conway, AR",51686.0,127721.0,4.94218937429865,38173.57904799906,0.2988825568857045,2.5808536160662463,37792.0,19732.79500799997,66632.0,296.145920998919,1.0961481861502227,0.0079991595629727,4.754734599316246,3.4765880504848425,3.5116905366879787,1.8152730558710748,11.762849337210872,10870.427974556707,92.29520154217538,0.4361971252091257,0.1580382417811431,1.2602536716393715,4.713360309824422,55983,289808,0.59,0.045,740602,327597,17560,98729,112294,61225,47478489.0,315451.0,125784.0,0.0,221510.0,0.0,0.0,203800.0,0.0,1195756.0,756050.0,884844.0,0.0,10917.0,0.0,1728.5,2981.333333333333,1.115,61.46666666666667,63.87833333333333,68.12997627448073,10.973650003882168,4
"Logan, UT-ID",7233.0,18868.0,5.217198949260335,7199.934203999982,0.3815949864320533,2.649246509055717,5372.0,3607.269712999993,9566.0,377.0927987664639,1.106375930780123,0.0058540664854693,1.5183325955702482,1.1276763035259745,1.5113915094558692,0.7572286998840349,9.832919861435895,4763.778384987819,85.32339800293862,1.6312333203394405,1.1829440163123333,3.944646016372305,7.24309574499985,60466,44013,0.667,0.027,140072,47201,1608,9233,17833,15339,7758260.0,208514.0,14125.0,0.0,0.0,0.0,0.0,0.0,0.0,1172329.0,93500.0,0.0,0.0,0.0,0.0,304.5,7521.0,-0.88,45.1,18.835,29.4035508539632,12.63535415791546,1
"Longview, TX",19291.0,49953.0,5.178891711160645,19136.20973200014,0.3830842938762465,2.696542429112021,15115.0,9881.38529899998,25923.0,381.1821663773475,1.0712264852913047,0.004281911815762,2.7362805161901447,2.143946918366805,2.7143247028873683,1.4015987800850849,16.56134822649945,7050.081263912148,93.8511995241557,0.108221531954266,0.0875685678408565,1.3416165488070848,3.759665587205076,53524,102463,0.551,0.054,285554,119880,5386,32860,41459,22758,15720648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2252.25,2052.5,0.6725,65.45,54.8725,40.50364659790372,4.557891239734516,3
"Longview, WA",5456.0,13104.0,4.803519061583578,5105.958193000009,0.3896488242521373,2.503848973607038,3720.0,2651.254998999997,6820.0,388.7470673020524,1.1736802640464352,0.008357771260997,1.8178561970341505,1.239447407068739,1.7012275921815172,0.8833578317173598,4.112283746343966,3001.337514431293,92.00317784587448,0.3677221654749744,0.397230734309386,2.0746793780501647,4.49438202247191,58791,42354,0.522,0.065,108399,44970,2788,12172,14842,12552,6282769.0,0.0,11094.0,15857.0,0.0,57617.0,0.0,0.0,0.0,254423.0,62134.0,0.0,40815.0,0.0,0.0,134.0,5333.0,-0.03,50.7,82.87,36.116897709366725,12.865790858035927,5
"Los Angeles-Long Beach-Anaheim, CA",250524.0,641962.0,5.124954096214335,101322.37916099728,0.1578323626024551,2.805328032443997,197890.0,56606.576454,352272.0,160.68996813257937,1.0603964143189517,0.0036193623109415,16.97949084855073,13.412173859668949,6.867215954230096,3.836561953619135,538.7671933500409,14754.50602344671,82.6203695290593,4.505567796631558,0.6474677378239152,2.3997241341016187,8.272127953317332,76399,4372505,0.609,0.061,13211027,4661034,339628,1383075,1596128,1053674,1135421878.0,8938555.0,6737505.0,571619.0,52152542.0,0.0,702686.0,227158330.0,7177716.0,4213844.0,39084786.0,135824554.0,2379211.0,23378321.0,2634067.0,1556.0,1690.0,-0.28,64.55000000000001,10.23,895.3893121874814,8.007730076255584,6
"Louisville/Jefferson County, KY-IN",58818.0,143283.0,4.872079975517699,35574.257453999526,0.2482796804505735,2.5678023734231017,42306.0,18743.16087799994,75541.0,248.1190463192165,1.085997196199856,0.0127745197971962,6.9021365900064975,4.964497102533491,4.174544935828514,2.1994603099123005,83.65510224149611,8521.709072689422,88.78764008736438,1.7375227443615142,0.2005084320956711,1.510160504395887,6.594155960406095,60891,497106,0.619,0.049,1262287,547307,36787,164214,189741,106364,84457315.0,1472204.0,411193.0,0.0,0.0,0.0,16.0,0.0,535223.0,6935293.0,3287208.0,0.0,250764.0,0.0,179962.0,1193.5,4234.2,0.973,56.55,53.483,148.1260377739728,37.69787162446131,4
"Lubbock, TX",20004.0,55241.0,5.522995400919816,21259.959606999728,0.3848583408518986,2.961857628474305,16986.0,11189.535907999998,29556.0,378.5876271484639,1.036331969804433,0.0013195290296386,2.863291681478254,2.43130736360676,3.0430646616319748,1.6016249292630782,21.56135984657564,6986.364724697687,91.89386435906792,0.673122035135276,0.3173382682583537,1.9372621592034616,4.258979304592608,53003,120841,0.619,0.043,320031,134602,6742,41827,48217,24055,18609542.0,352774.0,106624.0,0.0,0.0,0.0,0.0,0.0,70400.0,1088144.0,700640.0,0.0,0.0,0.0,20050.0,2036.6666666666667,2970.333333333333,-1.106666666666667,62.333333333333336,11.996666666666668,45.80794341707495,15.48299188689129,3
"Macon-Bibb County, GA",13604.0,34105.0,5.013966480446928,11795.119148000049,0.3458472114939173,2.645692443399,10373.0,6206.274363999996,17955.0,345.65716313004714,1.0787910971741428,0.0068504594820384,3.0208704121207943,2.3034025863664365,2.619194828111789,1.37814985266917,12.55519206990783,4503.337827871056,91.885056980665,0.8301677408340091,0.0906995603738956,2.0711511374791924,4.008920568526186,46083,86898,0.526,0.065,229565,102887,8451,29227,29238,19982,11981608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2208.4,1903.6,0.7060000000000001,65.75999999999999,59.666,50.976633060754935,7.39822595813414,3
"Madera, CA",7740.0,20020.0,5.17312661498708,9325.102412000002,0.4657893312687313,2.733204134366925,5905.0,4798.574479999976,10567.0,454.1094426043319,1.1099268042602244,0.0028390271600264,1.3873468021619186,1.0584344789103526,1.67146653890447,0.8601145942847233,1.456670525218512,5578.994371082031,88.65862514834298,0.3967621375560161,0.2036948474059904,1.9147315656163093,4.940042864480933,61924,44479,0.499,0.096,155925,50480,1955,10588,16948,14988,7604149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,3641.0,-1.62,58.0,11.06,27.94858528773865,10.768041428542862,1
"Madison, WI",35315.0,89323.0,5.05864363584879,28712.07152999949,0.3214409673880131,2.780433243664165,28081.0,15228.17943899995,49057.0,310.4180736490195,1.057942129800193,0.0083780092545406,4.024458167710492,3.200079564136438,3.271995774622521,1.735386411514776,60.61495890803019,8775.094317874511,80.13468745498868,3.803371534637993,2.001831705905213,4.94941067444281,8.19593274323777,73807,275987,0.6920000000000001,0.025,660212,290121,20284,94261,111393,50049,60778348.0,861616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4459753.0,0.0,0.0,0.0,0.0,0.0,691.0,6860.0,0.835,48.0,37.805,75.23702607448617,4.168187477834986,4
"Manchester-Nashua, NH",16962.0,43691.0,5.151633062138899,10838.815488000078,0.248078906136277,2.746138427072279,13841.0,5652.822416000013,23302.0,242.5895809801739,1.1092795326382183,0.0446313621148399,7.336811004357914,5.986841239907905,4.688264399632352,2.4450943112480825,19.993016483242087,2311.903630872449,87.75410302965574,0.8290611983338674,0.2038164405995229,2.1236071059845494,8.266581223966678,82099,162843,0.672,0.04,415305,172201,9089,50434,66059,37261,31311246.0,0.0,23720.0,0.0,71820.0,17476.0,0.0,0.0,0.0,117809.0,317748.0,274015.0,0.0,0.0,0.0,560.0,6285.0,-0.69,49.2,40.73,179.63767799580611,10.253427429962136,5
"Manhattan, KS",10770.0,27827.0,5.167502321262767,11146.939253999904,0.4005799854098502,2.711606313834726,8235.0,5740.120309999987,14537.0,394.8627853064585,1.0674546805314744,0.0105248675792804,2.202055895402183,1.683744688824232,2.2791256545924323,1.1736365616484008,7.773917514515208,4890.884024555139,85.06455524645125,0.1911691276125258,0.992938155360582,6.743704971823954,6.2115700121264,54488,48627,0.581,0.043,131571,56330,2495,15227,19750,11155,10579529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.0,4948.0,0.15,55.06666666666666,31.596666666666664,26.9012717004606,20.8454317892085,3
"Mankato, MN",7220.0,18722.0,5.186149584487534,8604.900301000042,0.4596143735177888,2.776038781163435,5636.0,4477.425920999991,9962.0,449.4505040152571,1.0446083046727883,0.0093354748042561,2.2612410751236776,1.7651460802488983,2.694979779496592,1.4022907760926095,2.117219473959292,3192.936869681224,85.76513098464318,1.3170731707317074,0.4643179765130985,2.822041553748871,8.556458897922314,63288,39211,0.693,0.034,101544,42391,2499,10869,16436,9407,6562180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.5,7544.0,0.61,46.35,29.94,31.802695807805915,6.046682288386922,1
"Mansfield, OH",6250.0,16393.0,5.24576,5195.810338999989,0.3169529884096864,2.70944,4881.0,2691.266014,8401.0,320.3506742054517,1.0411848904554306,0.005475538626354,4.825555473806049,3.768565802823572,4.011627363555113,2.0778965512521417,8.806960875853944,1295.1876802424265,93.7601585728444,0.6600594648166502,0.2695738354806739,1.026759167492567,3.3379583746283448,49186,48967,0.526,0.057,121043,54149,4496,15816,18279,10376,5354476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,5624.0,0.27,51.6,41.04,93.4559537945449,7.318118644161255,5
"McAllen-Edinburg-Mission, TX",28609.0,77010.0,5.383620538991226,18772.762948000207,0.2437704577067939,2.826627984200776,23476.0,9822.70156699996,40411.0,243.06999497661425,1.068435899350195,0.0030932171933384,6.980266037429398,5.727873239004948,4.580337643211536,2.396625891989736,9.554986910767695,4098.554388413504,88.42141099642531,0.2488355178657093,0.140511598396806,1.1593754352300336,6.294548211881587,41846,243878,0.541,0.073,861137,281380,15376,85691,88930,53881,28254927.0,120658.0,114440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4672.0,459.0,-0.46,76.5,25.31,210.1074960562704,15.413629530038996,3
"Medford, OR",10432.0,26058.0,4.995782208588957,10121.782916999988,0.3884328389362187,2.595763036809816,7637.0,5211.5914390000025,13539.0,384.9317851392276,1.1794175211894902,0.0070167663786099,1.438807624905168,1.0533142092983865,1.396021706155527,0.718795772653729,9.844718858007903,7250.448092869659,85.55521027553345,0.7157654858089911,1.1549616739175472,2.478765278640978,8.763206960845245,56327,89690,0.551,0.051,218781,96318,5300,27715,33146,23529,11247244.0,60700.0,35102.0,0.0,213904.0,0.0,0.0,0.0,0.0,319944.0,413049.0,456061.0,0.0,0.0,0.0,446.0,5291.0,-0.85,51.7,28.88,30.174824672582208,18.983366496484237,1
"Memphis, TN-MS-AR",64824.0,161924.0,4.995804023201283,41930.305560999615,0.2589505296373584,2.64938911514254,48729.0,22327.85117100025,85904.0,259.9163155499191,1.0699602349208317,0.0053780964797913,5.326085837275839,4.003684387952215,3.445088340754789,1.834506539224164,86.25113580472656,12171.039292366318,93.1961633916797,0.6719798176710051,0.1190953991825501,0.9250780181346088,4.135411632688165,53896,505544,0.591,0.069,1343150,569954,37780,178661,182944,106159,90066296.0,1343674.0,117332.0,0.0,0.0,0.0,0.0,739700.0,0.0,5192128.0,932117.0,0.0,0.0,55163.0,0.0,1854.375,2842.75,0.53875,62.1875,59.2775,110.35622905616812,5.104715497206225,4
"Merced, CA",10563.0,27378.0,5.183754615166146,9719.876124999988,0.3550250611805094,2.701315914039572,7913.0,5111.188956999989,14233.0,359.1083367526164,1.0516996680614392,0.0018969999297407,2.061907947786271,1.5446253517781654,1.897329341440452,0.9977090914584588,8.012288683256944,5122.925109891918,88.26671865860791,0.924156755702866,0.3762916747904075,2.365958276467148,3.8350555663872097,56330,81306,0.53,0.107,273661,86691,5792,22613,27932,24969,11428445.0,230818.0,176117.0,0.0,0.0,0.0,0.0,0.0,0.0,1189331.0,1515972.0,0.0,0.0,0.0,0.0,1829.0,2400.0,-1.59,63.4,5.77,53.41889528534873,14.542246270294063,3
"Miami-Fort Lauderdale-Pompano Beach, FL",162184.0,408488.0,5.037340304838948,59662.18436499877,0.146056149421767,2.9374414245548266,137548.0,35052.06451199942,238621.0,146.89429895943533,1.0715948429471995,0.00864131824106,10.21091645071432,8.659862476957365,3.756261898942661,2.206837309210985,369.4424193678885,15883.393109993978,85.87409258191694,3.0235771602492822,0.5154216676547972,1.5284376699060958,7.117511495556145,59030,2172740,0.594,0.0559999999999999,6129858,2548767,172751,860682,791523,347784,412900083.0,13350999.0,3022656.0,957651.0,3744434.0,0.0,445566.0,77275061.0,0.0,33204510.0,22226806.0,9872936.0,5303785.0,1596861.0,0.0,4657.666666666667,169.0,0.8099999999999999,77.26666666666667,73.57,385.92874693399335,6.148107221661112,4
"Midland, MI",7383.0,20630.0,5.588514154137885,5103.740023999998,0.2473940874454676,2.976296898279832,6224.0,2753.3616339999926,10971.0,250.96724400692668,1.0404371341564225,0.0008203445447087,3.1572491116358505,2.661617021647235,2.182551626275813,1.1774412261897211,2.719362573955181,2338.428086903374,91.76542326148626,0.76088973726769,0.1723269439804872,1.0047986425939182,5.5515787799252365,64078,34253,0.5660000000000001,0.045,83445,37065,2072,10098,14632,7451,6160501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,6406.0,-0.07,49.3,32.38,35.6842275660915,24.811882857984067,1
"Midland, TX",8203.0,22982.0,5.603315860051201,7617.100237000011,0.3314376571664785,2.976593929050348,6906.0,4046.016996000012,12182.0,332.1307663766222,1.0408484034708176,0.0010671482515186,1.7403624397470938,1.4651887125311995,1.6160569489532493,0.8584098513247332,2.943735698255958,4713.386023885947,93.19598776083004,0.152989624312697,0.1357351554052499,1.3078887431844848,4.328571099914878,82768,59639,0.674,0.034,176914,64303,2008,18532,22814,16285,23859990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2576.0,2280.0,-0.9,65.7,9.065,37.53437530969369,18.970575172232333,3
"Minneapolis-St. Paul-Bloomington, MN-WI",153099.0,387218.0,5.058400120183672,93563.08740600068,0.2416289723256685,2.771572642538488,120191.0,50620.6226759996,212396.0,238.33133710615832,1.066864281644271,0.0084653194975423,7.872694637947728,6.180491324107769,4.811224217865931,2.60302617725078,150.66944525386623,19446.835809182383,82.80706789921246,4.20981148871605,0.6985847354425548,2.147699584124993,9.193343919998918,82887,1390448,0.687,0.037,3605450,1456697,95033,423533,567910,303972,302072844.0,672674.0,3839009.0,0.0,0.0,5906921.0,0.0,31871652.0,519156.0,30517605.0,25183636.0,0.0,0.0,4153269.0,162692.0,684.6,7774.4,-0.0566666666666666,45.440000000000005,27.232000000000003,185.40034149399168,8.957686281032672,4
"Missoula, MT",7997.0,19418.0,4.856321120420158,9608.121352999997,0.4948048899474711,2.5438289358509443,5576.0,4933.875463000004,10149.0,486.1440006897236,1.2757082746374788,0.0046309981278943,1.18008399001299,0.8228271012020048,1.4178304592693811,0.72807145712195,9.52197116205761,6776.636296804579,81.90399926082202,1.9264825908187937,3.57577344195143,4.541324668524878,7.223924727043133,56247,49700,0.6659999999999999,0.049,119062,54731,2685,14744,19781,12490,7107095.0,152214.0,12897.0,0.0,0.0,0.0,0.0,0.0,315747.0,722747.0,157159.0,0.0,0.0,0.0,31517.0,94.0,8360.0,0.56,42.3,32.05,17.56948355870034,18.5632386260456,1
"Mobile, AL",40634.0,97715.0,4.809519121917606,20631.27845600024,0.2111372712070842,2.522050499581632,29025.0,10730.103073000071,51268.0,209.2943565772036,1.0967269796440695,0.0192712803308106,5.742880754255198,4.102158632973794,2.9158579509928546,1.5165059415540352,47.13724000045693,7075.543048650656,92.61653756885994,0.5011045552417438,0.0816531976175162,0.9792791029333632,4.868991359302033,49370,163387,0.531,0.057,430313,192924,11448,54140,60160,37639,24926602.0,174986.0,155465.0,0.0,0.0,0.0,0.0,0.0,0.0,707250.0,889058.0,0.0,0.0,0.0,0.0,2608.5,1455.0,0.01,68.05000000000001,60.785,60.816957375739946,2.3971355494881625,3
"Modesto, CA",16932.0,44655.0,5.2746279234585405,10201.720166000014,0.2284563915798905,2.77793527049374,13478.0,5341.935508,23495.0,227.3647800808682,1.0547813422957852,0.001361991913173,4.312612149660698,3.4328718729699315,2.598397255807359,1.360600990698363,5.652725941238383,3926.158766985841,90.9270922264785,0.7562991404472535,0.3879832469906714,1.25602871433616,5.618605316443249,62873,174826,0.5579999999999999,0.088,546235,182239,9973,48172,65564,51117,27120256.0,508132.0,36880.0,0.0,35074.0,0.0,0.0,0.0,690.0,2448598.0,262516.0,107435.0,0.0,0.0,99231.0,1720.0,2404.0,-1.76,63.1,6.78,139.1270787603302,22.060475618826963,5
"Monroe, MI",6023.0,16022.0,5.3202722895567,5740.790575999985,0.3583067392335529,2.7937904698655154,4913.0,3018.5115759999967,8374.0,360.4623329352754,1.035323702092975,0.0142106520181514,4.146747589545489,3.3825287908744794,3.952450520191499,2.078201162509238,5.123228078129182,1452.463616349545,92.56544350924972,0.2274406408900607,0.1202393197062104,1.1864578655347753,5.147112083327297,65453,60804,0.5760000000000001,0.05,150000,64760,3298,17120,24160,16226,6376529.0,97894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216248.0,0.0,0.0,0.0,0.0,0.0,933.0,5543.0,-0.1,52.2,32.22,103.27281063121757,9.844364697696868,5
"Montgomery, AL",26773.0,64609.0,4.82642961192246,19169.338291000186,0.2966976472472903,2.5573152056176,19260.0,10045.14590299999,34235.0,293.41743546078544,1.0832119704790883,0.009434788958668,3.713764243764045,2.671613167552964,2.6590372062052605,1.3933927343948849,8.547925049868585,7209.127516631082,92.83702932350748,0.3401255753482898,0.0881122414398649,1.4399881695452053,4.56828082542069,54250,145077,0.5479999999999999,0.055,373552,168343,9989,50128,51079,33881,23747629.0,69423.0,182426.0,0.0,0.0,0.0,0.0,0.0,0.0,452247.0,965545.0,0.0,0.0,0.0,0.0,2409.0,1789.5,0.9325,66.6,67.69749999999999,51.81653385076557,13.536209315931394,3
"Morgantown, WV",9250.0,22193.0,4.798486486486486,8106.311795000022,0.3652643533997216,2.4622702702702703,6354.0,4159.000343000017,11330.0,367.07858278905707,1.13444310727665,0.0060017652250661,3.5139843349471973,2.413822320459945,3.0795083958732725,1.579963465334279,3.588132360877628,2632.3395662317303,84.88559706194201,2.016073267052876,0.2043732808826467,5.312168661739171,6.853419795012063,53681,52663,0.557,0.071,139806,60196,4089,18267,20315,9992,9848493.0,0.0,0.0,0.0,0.0,0.0,0.0,3103051.0,0.0,0.0,0.0,0.0,0.0,506512.0,0.0,711.5,5183.0,-0.4,52.65,46.885,53.1109290736895,19.68629202193723,5
"Morristown, TN",5585.0,13526.0,4.843688451208594,4585.981380000046,0.3390493405293542,2.592837958818264,4183.0,2421.302941999998,7207.0,335.9654422089632,1.1100147355379866,0.0083252393506313,0.7726945448449277,0.5787253860494777,0.6344785667119872,0.3349915084512753,3.840162176296089,7227.953189602051,93.37663648907886,0.3045804866556726,0.1127452630161882,0.8683068017366137,4.696597448928078,46798,53675,0.525,0.067,141909,62750,2168,14863,20114,16530,6161758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,3570.0,1.97,58.66666666666666,64.05333333333333,19.633359026750018,10.349905308286784,1
"Mount Vernon-Anacortes, WA",7593.0,18263.0,4.8104833399183455,5248.095692000005,0.2873621908777312,2.5173185829053075,5292.0,2724.125637000008,9581.0,284.3258153637416,1.111320792929411,0.006471140799499,1.53741735336628,1.071514899778,1.0626252323202456,0.5515761921603825,17.199912930190745,4938.802065278247,87.33707410599638,0.659619004063253,0.3887354663946105,2.5188651035162093,8.151131906210972,71021,49263,0.555,0.051,127442,54317,1967,11644,19048,16604,8085909.0,172819.0,37641.0,53828.0,0.0,0.0,0.0,0.0,0.0,753919.0,691822.0,0.0,231784.0,0.0,0.0,39.0,6777.0,0.46,46.5,91.23,25.804233155235803,9.306998970054895,1
"Muncie, IN",5968.0,16863.0,5.651139410187668,4534.376867999999,0.2688950286425902,2.9416890080428955,5043.0,2370.957429000005,8734.0,271.462952713534,1.036556502785839,0.0043508129150446,5.81016326255856,4.909626898975003,4.414455411703912,2.308252304133064,3.982105574847207,1027.1656286250268,87.52449886480508,1.3835794539421342,0.5588651931771874,4.8687248947276505,4.567946752566317,45910,46632,0.55,0.064,114461,52677,3608,15825,17947,9252,5122779.0,0.0,0.0,39356.0,0.0,145520.0,0.0,0.0,0.0,711963.0,0.0,0.0,168402.0,0.0,0.0,935.0,5143.0,-0.03,53.4,38.48,111.43382995906758,16.776725296782132,5
"Muskegon, MI",7974.0,21944.0,5.503887634813143,6062.353116999997,0.2762647246172072,2.833960371206421,6366.0,3124.904287999996,11241.0,277.9916633751442,1.0515406874355742,0.0106752068321323,5.83796291566471,4.66070628556829,4.438398881202702,2.2878198330004524,3.6789966247254937,1365.8874020257597,94.56975661657135,0.3085516691049342,0.2753025668306956,1.017422529591701,3.295651017422529,53478,66064,0.5529999999999999,0.072,173679,74335,4870,21846,24969,14379,6854257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,6382.0,0.07,49.2,34.8,127.15469792196278,6.2001012137338565,5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",39180.0,95716.0,4.88596222562532,22846.402735000363,0.2386894848823641,2.618478815722307,29220.0,12131.059553999796,51408.0,235.97610399159265,1.0838501267878815,0.009453781512605,6.800967670165737,5.072084617719317,3.96573880501081,2.105741292281976,13.832310300782256,5760.944897867041,89.9771530744015,0.4599185457435183,0.1599284791894308,1.2625409754643886,6.696135889540081,53832,195635,0.501,0.06,481489,302532,8006,66702,85285,35642,22490898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.5,1950.5,1.205,65.05,65.055,83.57812972282876,16.20150359922956,3
"Napa, CA",5334.0,13070.0,4.90063742032246,3230.829972000018,0.2471943360367267,2.619610048743907,3916.0,1701.1360430000032,6988.0,243.4367548654841,1.1201125395816054,0.00429307384087,2.6074743845813457,1.914298779531412,1.5793600286703624,0.8315839251613383,8.89753827827091,2045.6576799148208,85.3992219474453,1.3594226792196336,1.0210132037543205,3.50557507917914,7.261341779108276,92219,48484,0.621,0.045,138572,55339,2418,13178,17764,15124,12433826.0,255742.0,82231.0,0.0,54637.0,0.0,0.0,0.0,0.0,1540598.0,452035.0,322804.0,0.0,0.0,0.0,1324.0,2435.0,-1.75,61.9,10.32,67.73958388080355,21.797773719312573,1
